Column1;Column2
orzličьnъ;rozliczny
orzuměti;rozumieć
orzumъ;rozum
oržьnъ;rożen
osa;osa
osь;oś
osla;osła
osьlъ;osioł
oskъrdъ;oskard
osmь;osiem
osmъ;ósmy
osnova;osnowa
osoba;osoba
ostь;ość
ostь;ość
ostьnъ;oścień
ostroga;ostroga
ostrovъ;ostrów
ostrъ;ostry
osъpa;ospa
osъtъ;oset
ota;ota
otava;otawa
otьcь;ojciec
otrokъ;otrok
otrǫba;otręby
otъ;od
otъskakati;odskakać
otъverti;odewrzeć
otъvoriti;otworzyć
oťьtnǫti;ocknąć
oťutiti;cucić
ova;owo
ovadъ;owad
ovamo;owam
ovati;ować
ovьca;owca
ovьnъ;owien
ovьsъ;owies
ovo;owo
ovoťe;owoc
ovъ;ów
ovъ;ów
ovъde;ówdzie
oxota;ochota
ǫda;węda
ǫdica;wędzica
ǫditi;wędzić
ǫdolь;wądół
ǫdъka;wędka
ǫgľь;węgiel
ǫgorь;węgorz
ǫgrъ;wągier
ǫgъlъ;węgieł
ǫgъrinъ;węgier
ǫkotь;łękotka
ǫpyrь;wąpierz
ǫsěnica;gąsienica
ǫsъ;wąs
ǫtьlъ;wątły
ǫtorъ;wątor
ǫtroba;wątroba
ǫtъkъ;wątek
ǫvozъ;wąwóz
ǫxati;wąchać
ǫziti;wężyć
ǫzlъ;węzeł
ǫzъkъ;wąski
ǫžь;wąż
pa;pa
padati;padać
padežь;padzież
pakostь;pakość
palica;palica
paliti;palić
palьcь;palec
pamętati;pamiętać
pamętь;pamięć
paorbъ;parób
paorbъkъ;parobek
paǫčina;pajęczyna
paǫkъ;pająk
paǫzъ;pawąz
paportь;paproć
para;para
pariti;parzyć
